Year,Month,Day,Hour,Minute,Temperature,RelativeHumidity,Precipitation,Sunlight,Wind
2017,2,16,9,0,40.59,73,0,27.42,4.82
2017,2,16,10,0,40.28,78,0,60,4.67
2017,2,16,11,0,43.09,81,0,60,4.67
2017,2,16,12,0,47.88,80,0,60,3.81
2017,2,16,13,0,51.8,70,0,60,1.5
2017,2,16,14,0,54.61,69,0,57.89,1
2017,2,16,15,0,56.35,67,0,59.43,0.63
2017,2,16,16,0,57.34,66,0,58.28,1.3
2017,2,16,17,0,57.74,63,0,22.34,1.43
2017,2,16,18,0,57.29,64,0,0.64,1.12
2017,2,16,19,0,56.64,65,0,0,0.71
2017,2,16,20,0,55.67,67,0,0,1.5
2017,2,16,21,0,54.72,69,0,0,1.63
2017,2,16,22,0,54.14,70,0,0,2.98
2017,2,16,23,0,53.78,71,0,0,4.2
2017,2,17,0,0,52.83,74,0,0,4.41
2017,2,17,1,0,51.87,77,0,0,4.61
2017,2,17,2,0,49.69,83,0,0,5.07
2017,2,17,3,0,49.06,85,0,0,5.59
2017,2,17,11,0,46.51,88,0,0,6.58
2017,2,17,17,0,47.82,68,0,53.62,7.16
2017,2,17,18,0,47.79,71,0,60,4.26
2017,2,17,19,0,47.12,68,0,55.43,4.34
2017,2,17,20,0,45.01,73,0,0,4.97
2017,2,17,21,0,43.65,75,0,0,4.53
2017,2,17,22,0,43.29,76,0,0,3.91
2017,2,17,23,0,42.87,79,0,0,2
2017,2,18,0,0,42.4,83,0,0,1.2
2017,2,18,1,0,42.08,86,0,0,0.95
2017,2,18,2,0,42.39,85,0,0,1.43
2017,2,18,3,0,42.94,82,0,0,1.41
2017,2,18,4,0,42.82,81,0,0,0.32
2017,2,18,5,0,41.97,84,0,0,2.06
2017,2,18,6,0,41.27,86,0,0,2.68
2017,2,18,7,0,40.87,86,0,0,4.03
2017,2,18,8,0,39.07,89,0,0,5.16
2017,2,18,9,0,37.62,93,0,0,5.97
2017,2,18,10,0,39.33,88,0,47.87,6.84
2017,2,18,11,0,41.95,83,0,60,6.73
2017,2,18,12,0,45.19,77,0,60,6.28
2017,2,18,13,0,47.3,71,0,53.62,6.28
2017,2,18,14,0,49.15,63,0,60,6.73
2017,2,18,15,0,50.49,60,0,60,5.41
2017,2,18,16,0,51.22,58,0,47.87,4.82
2017,2,18,17,0,51.31,58,0,60,4.67
2017,2,18,18,0,50.56,62,0,38.94,3.2
2017,2,18,19,0,49.91,61,0,0,2.47
2017,2,18,20,0,47.48,69,0,0,2.34
2017,2,18,21,0,44.76,74,0,0,3.01
2017,2,18,22,0,42.4,76,0,0,3.33
2017,2,18,23,0,40.89,77,0,0,3.11
2017,2,19,0,0,40.03,76,0,0,2.98
2017,2,19,1,0,38.35,78,0,0,4.7
2017,2,19,2,0,36.79,82,0,0,4.75
2017,2,19,3,0,35.78,86,0,0,4.95
2017,2,19,4,0,34.54,88,0,0,4.7
2017,2,19,5,0,34.11,89,0,0,4.84
2017,2,19,6,0,33.42,91,0,0,4.32
2017,2,19,7,0,32.45,93,0,0,2.41
2017,2,19,8,0,33.19,91,0,32.54,2.38
2017,2,19,9,0,34.83,85,0,60,2.8
2017,2,19,10,0,36.84,83,0,60,2.55
2017,2,19,11,0,39.63,79,0,60,2.12
2017,2,19,12,0,41.79,77,0,60,0.32
2017,2,19,13,0,46.33,72,0,60,3.7
2017,2,19,14,0,49.96,62,0,59.62,10.44
2017,2,19,15,0,50.83,61,0,59.23,11.74
2017,2,19,16,0,51.21,60,0,60,11.46
2017,2,19,17,0,50.94,60,0,60,11.22
2017,2,19,18,0,49.68,63,0,60,9.49
2017,2,19,19,0,47.07,68,0,59.75,6.99
2017,2,19,20,0,44.76,74,0,0,6.04
2017,2,19,21,0,43.34,77,0,0,5.52
2017,2,19,22,0,42.78,77,0,0,5.91
2017,2,19,23,0,42.93,76,0,0,5.52
2017,2,20,0,0,43.68,76,0,0,4.41
2017,2,20,1,0,44.49,73,0,0,4.61
2017,2,20,2,0,43.66,77,0,0,4.61
2017,2,20,3,0,43.38,77,0,0,4.79
2017,2,20,4,0,42.87,75,0,0,4.76
2017,2,20,5,0,41.52,77,0,0,4.22
2017,2,20,6,0,41,81,0,0,4.11
2017,2,20,7,0,39.45,85,0,0,4.3
2017,2,20,8,0,39.07,85,0,0,4.16
2017,2,20,9,0,38.19,86,0,0,4.5
2017,2,20,11,0,48.65,67,0,24.26,8.52
2017,2,20,12,0,50.94,60,0,33.83,12.03
2017,2,20,13,0,52.56,58,0,0,12.38
2017,2,20,14,0,47.1,72,0,0,10.22
2017,2,20,15,0,47.62,73,0,0,10.22
2017,2,20,16,0,48.69,71,0,0,10.11
2017,2,20,17,0,49.39,71,0,0,10.76
2017,2,20,18,0,48.74,72,0,0,9.42
2017,2,20,19,0,47.89,75,0,0,7.17
2017,2,20,20,0,48,74,0,0,6.02
2017,2,21,2,0,48.13,78,0,0,8.72
2017,2,21,3,0,48.24,79,0,0,8.81
2017,2,21,4,0,48.04,80,0,0,8.43
2017,2,21,5,0,47.97,81,0,0,7.64
2017,2,21,6,0,47.57,82,0,0,6.73
2017,2,21,7,0,47.98,82,0,0,7.33
2017,2,21,8,0,48.63,82,0,0,9.12
2017,2,21,9,0,48.85,83,0,0,10.19
2017,2,21,10,0,50.5,80,0,0,12.81
2017,2,21,11,0,51.66,78,0,0,14.57
2017,2,21,13,0,55.51,73,0,0,18.01
2017,2,21,14,0,53.04,76,0,0,17.45
2017,2,21,15,0,54.32,74,0,0,16.57
2017,2,21,17,0,55.09,73,0,0,15.74
2017,2,21,18,0,54.79,74,0,0,15.41
2017,2,21,19,0,53.31,76,0,0,13.83
2017,2,21,20,0,52.09,77,0,0,13.18
2017,2,21,21,0,51.31,79,0,0,12.91
2017,2,21,22,0,50.56,80,0,0,12.05
2017,2,21,23,0,50.5,81,0,0,11.25
2017,2,22,0,0,50.54,80,0,0,10.89
2017,2,22,1,0,50.86,80,0,0,11.96
2017,2,22,2,0,50.43,80,0,0,11.39
2017,2,22,3,0,49.78,81,0,0,10.91
2017,2,22,4,0,48.31,82,0,0,9.9
2017,2,22,5,0,48.38,81,0,0,9.48
2017,2,22,6,0,48.16,81,0,0,10.11
2017,2,22,7,0,48.07,80,0,0,11.32
2017,2,22,8,0,47.23,81,0,0,10.63
2017,2,22,9,0,46.78,81,0,0,11.28
2017,2,22,10,0,48.24,77,0,0,13.76
2017,2,22,11,0,49.64,71,0,0,16.07
2017,2,22,12,0,51.6,65,0,0,17.34
2017,2,22,13,0,53.62,62,0,7.02,17.76
2017,2,22,14,0,55,61,0,25.53,19.24
2017,2,22,15,0,55.49,58,0,28.72,19.47
2017,2,22,16,0,55.92,57,0,0,18.81
2017,2,22,17,0,55.65,57,0,0,17.9
2017,2,22,18,0,54.39,59,0,0,16.55
2017,2,22,19,0,52.77,63,0,0,15
2017,2,22,20,0,51.4,67,0,0,13.87
2017,2,22,21,0,50.11,72,0,0,15.21
2017,2,22,22,0,49.23,76,0,0,16.14
2017,2,22,23,0,48.88,77,0,0,14.01
2017,2,23,0,0,48.76,77,0,0,13.65
2017,2,23,1,0,48.63,77,0,0,11.85
2017,2,23,2,0,48.56,77,0,0,11.33
2017,2,23,3,0,48.31,77,0,0,9.93
2017,2,23,4,0,47.7,77,0,0,8.53
2017,2,23,5,0,46.76,77,0,0,7.4
2017,2,23,6,0,46.04,78,0,0,5.82
2017,2,23,7,0,46.2,75,0,0,4.47
2017,2,23,8,0,45.86,73,0,0,3.59
2017,2,23,9,0,45.25,74,0,0,2.77
2017,2,23,10,0,47.16,74,0,0,2.91
2017,2,23,11,0,52.95,65,0,37.02,6.71
2017,2,23,12,0,58.32,58,0,30.64,11.41
2017,2,23,13,0,61.43,47,0,40.85,17.76
2017,2,23,14,0,63.79,43,0,52.72,15.7
2017,2,23,15,0,63.9,41,0,54.26,19.32
2017,2,23,16,0,63.34,40,0,56.17,20.34
2017,2,23,17,0,62.24,41,0,51.7,20.12
2017,2,23,18,0,60.17,51,0,59.43,17.74
2017,2,23,19,0,56.79,65,0,5.21,14.82
2017,2,23,20,0,55.4,66,0,0,18.14
2017,2,23,21,0,53.78,67,0,0,19.93
2017,2,23,22,0,52.23,76,0,0,22.53
2017,2,24,0,0,49.68,80,0,0,20.59
2017,2,24,1,0,47.57,81,0,0,19.88
2017,2,24,2,0,45.81,75,0,0,17.91
2017,2,24,3,0,44.06,76,0,0,15.9
2017,2,24,4,0,43.03,74,0,0,15.58
2017,2,24,5,0,42.19,76,0,0,13.73
2017,2,24,6,0,41.29,78,0,0,13.96
2017,2,24,7,0,40.39,80,0,0,13.44
2017,2,24,8,0,40.14,81,0,0,13.2
2017,2,24,20,0,40.66,81,0,0,8.87
2017,2,24,22,0,39.27,88,0,0,3
2017,2,24,23,0,38.5,88,0,0,2.24
2017,2,25,0,0,38.25,92,0,0,2.7
2017,2,25,1,0,36.82,93,0,0,1.91
2017,2,25,2,0,35.69,96,0,0,0.63
2017,2,25,3,0,35.02,97,0,0,3.49
2017,2,25,4,0,34.48,96,0,0,3.49
2017,2,25,5,0,33.75,96,0,0,3.18
2017,2,25,6,0,33.19,95,0,0,4.03
2017,2,25,7,0,32.22,96,0,0,5.15
2017,2,25,8,0,32.29,96,0,10.58,5.54
2017,2,25,9,0,32.83,94,0,45.96,4.61
2017,2,25,10,0,35.65,82,0,57.32,7.02
2017,2,25,11,0,38.44,75,0,56.74,8.82
2017,2,25,12,0,41.68,69,0,57.89,8.21
2017,2,25,13,0,45.09,61,0,59.04,7.57
2017,2,25,14,0,47.53,58,0,58.66,2.86
2017,2,25,15,0,49.21,53,0,58.28,2.7
2017,2,25,16,0,50.61,47,0,56.55,3.36
2017,2,25,17,0,51.08,43,0,56.74,5.1
2017,2,25,18,0,50.29,46,0,57.7,5.82
2017,2,25,19,0,48.99,50,0,8.84,4.91
2017,2,25,20,0,47.14,54,0,0,4.76
2017,2,25,21,0,43.09,65,0,0,4.95
2017,2,25,22,0,39.76,75,0,0,5.32
2017,2,25,23,0,39.67,73,0,0,5.28
2017,2,26,0,0,39.56,66,0,0,3.72
2017,2,26,1,0,37.76,59,0,0,3.14
2017,2,26,2,0,37.53,58,0,0,3.41
2017,2,26,3,0,38.89,54,0,0,4.12
2017,2,26,4,0,39.69,50,0,0,4.11
2017,2,26,5,0,39.18,55,0,0,4.03
2017,2,26,6,0,39,61,0,0,4.32
2017,2,26,7,0,39.34,60,0,0,3.91
2017,2,26,8,0,40.01,54,0,0,3.91
2017,2,26,9,0,41.5,47,0,0,4.03
2017,2,26,10,0,42.39,55,0,0,3.41
2017,2,26,11,0,44.55,65,0,0,1.61
2017,2,26,12,0,47.57,61,0,0,1.9
2017,2,26,13,0,52.7,54,0,0,6.71
2017,2,26,14,0,53.98,52,0,0,4.82
2017,2,26,15,0,55.33,49,0,0,5.66
2017,2,26,16,0,57.02,47,0,0,6.52
2017,2,26,17,0,57.63,46,0,26.81,7.44
2017,2,26,18,0,56.1,50,0,60,5.7
2017,2,26,19,0,54.77,49,0,10.48,4.3
2017,2,26,20,0,52.3,54,0,0,3.33
2017,2,26,21,0,50.86,56,0,0,2.41
2017,2,26,22,0,49.93,56,0,0,3.26
2017,2,26,23,0,47.77,58,0,0,4.94
2017,2,27,0,0,46.09,56,0,0,4.72
2017,2,27,1,0,45.23,53,0,0,4.03
2017,2,27,2,0,45.34,49,0,0,4.34
2017,2,27,3,0,44.98,48,0,0,4.34
2017,2,27,4,0,43.09,50,0,0,3.75
2017,2,27,5,0,41.77,55,0,0,4.18
2017,2,27,6,0,41.49,58,0,0,4.78
2017,2,27,7,0,42.51,61,0,0,4.67
2017,2,27,8,0,43.83,58,0,0,4.76
2017,2,27,9,0,42.76,58,0,58.28,5.91
2017,2,27,10,0,43.29,70,0,56.74,5.15
