Year,Month,Day,Hour,Minute,Temperature,RelativeHumidity,Precipitation,Sunlight,Wind
2018,1,4,12,0,52.68,80,2.1,0,22.9
2017,4,3,23,0,53.02,85,0.1,0,2.11
2014,12,18,16,0,53.02,84,1.7,0,11.55
2017,11,17,23,0,42.01,81,0,0,1.75
2017,11,8,23,0,42.91,84,0.1,0,4.93
2017,12,30,17,0,54.99,76,0,0,21.52
2018,3,22,5,0,29.98,62,0,0,3.8
2017,12,28,6,0,33.62,89,0.5,0,30.71
2018,3,15,15,0,48.61,67,0,0,10.2
2018,3,27,2,0,42.46,89,0.4,0,6.3
2018,3,15,4,0,38.07,75,0,0,10.63
2017,11,20,11,0,38.3,76,0,0,2.28
2018,2,12,14,0,37.26,58,0,53.62,14.44
2017,5,6,23,0,53.74,84,0.5,0,14.53
2018,2,24,15,0,39.45,51,0,60,18.57
2017,3,22,4,0,42.28,94,0.2,0,4.53
2018,1,18,14,0,48.04,68,0,21.7,27.61
2018,3,19,8,0,28.76,66,0,0,17.3
2017,4,27,18,0,48.54,63,0.1,0,12.99
2017,10,28,16,0,55.36,51,0,31.91,15.09
2012,9,19,2,0,57.83,96,2.8,0,4.03
2017,11,2,22,0,58.44,66,0,0,5.66
2013,12,28,21,0,38.64,87,2.9,0,7.07
2018,1,16,2,0,44.31,65,0,0,27.86
2018,1,22,11,0,49.71,85,0,0,17.81
2017,10,26,21,0,64.44,62,0,0,3.85
2017,12,4,13,0,40.86,74,0.1,0,17.52
2018,2,28,22,0,26.47,61,0,0,12.62
2017,9,16,21,0,48.49,88,1.8,0,5.91
2018,2,26,22,0,21.06,55,0,0,12.42
2016,4,18,15,0,46.85,85,1.5,0,11.68
2017,7,10,15,0,75.87,58,0.1,53.62,13.35
2017,12,23,5,0,40.21,88,0,0,2.98
2018,2,13,19,0,36.99,46,0,49.42,7.64
2017,11,6,18,0,47.71,62,0,2.55,9.98
2017,9,1,18,0,61.52,73,0.2,0,10.08
2018,2,11,23,0,39.18,83,0,0,6.02
2012,11,29,4,0,38.79,94,2.8,0,13.91
2016,10,25,8,0,54.27,97,1.8,0,8.56
2017,4,25,16,0,51.44,87,1.4,0,6.22
2012,7,28,16,0,71.17,76,1.6,0,4.11
2017,12,22,3,0,42.4,90,0.1,0,3.23
2018,1,12,22,0,39.81,90,0,0,1.12
2017,5,1,10,0,46.33,70,0.3,0,5.38
2017,11,15,20,0,39.38,86,0,0,3.59
2017,10,29,18,0,50.61,84,0.1,0,12.59
2014,1,13,16,0,43.56,87,1.4,0,1
2017,7,2,1,0,58.44,75,0.1,0,9.81
2018,1,18,13,0,46.36,68,0,0,35.91
2012,11,10,11,0,48.65,89,1.8,0,11.72
2018,2,2,12,0,37.63,66,0,60,16.01
2017,12,12,0,0,44.06,70,0,0,20.72
2018,2,3,5,0,34.07,89,0,0,7.16
2017,10,26,11,0,59.88,74,0,59.62,2.77
2017,7,22,6,0,63.81,87,0.3,6.27,4.41
2018,3,15,8,0,38.48,69,0,0,13.24
2017,12,23,7,0,40.01,90,0,0,3.3
2017,11,10,13,0,47.32,61,0,0,8.64
2018,2,20,18,0,39,55,0,30,8.5
2017,10,28,10,0,47.44,72,0,54.26,7.16
2018,1,13,10,0,32.86,89,0,0,12.93
2016,6,11,11,0,63.23,76,1.5,15.32,10.16
2017,11,10,7,0,40.17,85,0,0,4.11
2018,4,2,23,0,53.33,58,0,0,4.16
2017,1,15,12,0,31.55,89,0.3,0,10.61
2017,6,6,13,0,61.61,67,1.6,0,17.81
2018,3,20,2,0,34.95,71,0,0,14.36
2018,2,2,22,0,33.26,83,0,0,5.82
2017,10,24,20,0,60.06,73,0,0,0.32
2017,11,2,0,0,50.16,36,0,0,3.85
2018,2,22,20,0,32.7,67,0,0,15.14
2018,3,30,13,0,56.32,47,0,0,10.05
2017,10,25,10,0,54.82,80,0,48.51,2.28
2018,3,15,14,0,47.17,69,0.1,0,10.68
2017,12,28,14,0,35.98,66,0,58.72,27.11
2017,11,13,12,0,41.65,78,0.1,0,14.79
2012,5,22,4,0,53.55,86,3.6,0,7.61
2017,11,13,19,0,41.43,78,0,0,7.81
2018,3,12,1,0,47.91,80,0,0,2.21
2017,11,17,0,0,38.7,58,0,0,2.01
2017,10,3,8,0,64.62,75,0.8,0,16.16
2018,1,14,17,0,44.76,53,0,60,7.98
2017,2,8,2,0,40.3,91,0.3,0,7.88
2017,1,11,19,0,43.11,78,0.1,0,24.51
2017,10,23,19,0,53.37,71,0.1,0,11.23
2018,1,2,22,0,41.04,74,0.4,0,18.74
2018,2,14,13,0,38.71,46,0,60,3.59
2017,10,24,0,0,51.51,79,0.3,0,7.33
2017,8,10,10,0,54.27,82,1.1,0,5.19
2018,1,15,6,0,34.95,56,0,0,3.36
2018,3,20,18,0,40.23,50,0,0,15.74
2018,1,20,9,0,36.93,81,0,0,13.31
2018,3,30,15,0,61.34,42,0.2,0,11.77
2018,2,7,3,0,35.78,77,0,0,4.97
2017,11,26,13,0,38.05,75,0.4,22.34,15.48
2017,11,28,20,0,41,81,0.5,0,12.21
2017,12,20,9,0,34.84,93,0.2,0,4.61
2018,1,16,0,0,44.22,66,0,0,29.9
2017,7,24,15,0,67.41,56,0.3,0,16.93
2018,2,25,0,0,28.13,62,0,0,14.85
2017,10,21,2,0,60.37,75,0,0,1.57
2017,6,15,15,0,83.61,49,0.1,53.62,7.5
2018,3,24,11,0,45.55,47,0,60,8.47
2018,1,30,12,0,49.35,77,0,25.53,4.32
2018,1,16,7,0,43.68,73,0,0,22.01
2018,3,6,0,0,46.27,79,0,0,1.5
